epoch,step,seen_frames,total_loss,rho_loss,potential_loss,pc_loss,alpha_loss_mean,phi_loss_mean,rank_loss_mean,correlation_mean,spearman_correlation_mean,slope_mean,PC1_alpha_loss,PC1_phi_loss,PC1_rank_loss,PC1_correlation,PC1_spearman_correlation,PC1_slope,PC2_alpha_loss,PC2_phi_loss,PC2_rank_loss,PC2_correlation,PC2_spearman_correlation,PC2_slope
1,134,40000,1062.745849609375,0.1357729583978653,0.22150194644927979,1062.3885498046875,0.33962053060531616,497.23223876953125,0.0,0.5855416059494019,0.5603130459785461,0.54304438829422,0.0035743657499551773,49.22508239746094,0.0,0.18776987493038177,0.1414783000946045,0.010307986289262772,0.6756666898727417,945.2393798828125,0.0,0.9833133816719055,0.9791477918624878,1.0757807493209839
2,268,40000,144.6019744873047,0.013388599269092083,0.11285420507192612,144.47573852539062,0.37276506423950195,34.96136474609375,0.0,0.5240620374679565,0.5082436800003052,15.45317554473877,0.05057324469089508,49.352699279785156,0.0,0.06750873476266861,0.018287837505340576,0.0012186856474727392,0.69495689868927,20.570030212402344,0.0,0.9806153178215027,0.9981995820999146,30.905132293701172
3,402,40000,121.5489730834961,0.006849109660834074,0.08101825416088104,121.46110534667969,0.3599022924900055,24.740325927734375,0.0,0.6230084896087646,0.575461208820343,15.896076202392578,0.004622751846909523,49.291046142578125,0.0,0.2485552430152893,0.1524065136909485,0.005607796832919121,0.715181827545166,0.1896054893732071,0.0,0.9974617958068848,0.9985159039497375,31.786544799804688
4,536,40000,160.1937713623047,0.006241438910365105,0.01900017261505127,160.1685333251953,0.555245578289032,24.55971336364746,0.0,0.840630054473877,0.7999945878982544,15.93854808807373,0.3948615491390228,49.07794952392578,0.0,0.6833153963088989,0.6015815734863281,0.020801711827516556,0.7156295776367188,0.04147558659315109,0.0,0.997944712638855,0.9984076619148254,31.856294631958008
5,670,40000,131.8197479248047,0.003379890928044915,0.020062923431396484,131.7963104248047,0.4119263291358948,24.70551872253418,0.0,0.5075770020484924,0.4613373279571533,15.948861122131348,0.1090942770242691,49.362701416015625,0.0,0.017502913251519203,-0.07529819011688232,0.0005068203317932785,0.7147583961486816,0.048337388783693314,0.0,0.9976511001586914,0.997972846031189,31.897214889526367
6,804,40000,130.00717163085938,0.007195654325187206,0.04144910350441933,129.95852661132812,0.4025267958641052,24.726585388183594,0.0,0.6617900729179382,0.461303174495697,15.903863906860352,0.09193077683448792,49.21315002441406,0.0,0.3271733522415161,-0.07524120807647705,0.011159759946167469,0.7131228446960449,0.24002070724964142,0.0,0.9964067935943604,0.9978475570678711,31.796567916870117
7,938,40000,124.48336791992188,0.0012797184754163027,0.018101640045642853,124.4639892578125,0.3743361532688141,24.79837989807129,0.0,0.621300220489502,0.5063403844833374,15.869815826416016,0.03640218451619148,49.2518424987793,0.0,0.2467251867055893,0.015016376972198486,0.008401830680668354,0.7122701406478882,0.34491801261901855,0.0,0.9958752989768982,0.9976644515991211,31.731229782104492
8,1072,40000,126.14303588867188,0.0011381254298612475,0.01856808550655842,126.12332916259766,0.3836755156517029,24.694114685058594,0.0,0.5452409982681274,0.49776434898376465,15.934562683105469,0.0524996779859066,49.3248176574707,0.0,0.09282740205526352,-0.0025184154510498047,0.003203089814633131,0.7148513793945312,0.06341153383255005,0.0,0.9976546168327332,0.9980471134185791,31.865922927856445
9,1206,40000,125.3798828125,0.0016034316504374146,0.02967771142721176,125.34860229492188,0.3756926655769348,25.10503578186035,0.0,0.6257708072662354,0.49814775586128235,15.812668800354004,0.04356350377202034,49.22773742675781,0.0,0.2584124207496643,-0.0003783702850341797,0.010119319893419743,0.7078218460083008,0.9823330640792847,0.0,0.9931291341781616,0.9966738820075989,31.615219116210938
10,1340,40000,123.2400894165039,0.0010498295305296779,0.01607469469308853,123.22296142578125,0.36988314986228943,24.6231689453125,0.0,0.6734575033187866,0.6226295232772827,15.980051040649414,0.024446800351142883,49.1827507019043,0.0,0.3491429388523102,0.24693810939788818,0.013325375504791737,0.7153195142745972,0.0635870024561882,0.0,0.9977720975875854,0.998320996761322,31.94677734375
11,1474,40000,121.18181610107422,0.0019803785253316164,0.04084311053156853,121.13899230957031,0.3558271527290344,24.986780166625977,0.0,0.604900062084198,0.5810441374778748,15.878693580627441,0.0014592369552701712,49.23814392089844,0.0,0.2151549905538559,0.16493487358093262,0.009377369657158852,0.7101950645446777,0.7354156970977783,0.0,0.9946451783180237,0.9971534013748169,31.748010635375977
12,1608,40000,123.525634765625,0.0010436470620334148,0.039365172386169434,123.4852294921875,0.36585181951522827,25.157438278198242,0.0,0.6187804937362671,0.6720925569534302,15.81179141998291,0.023779312148690224,49.206111907958984,0.0,0.24408622086048126,0.3477691411972046,0.011660678312182426,0.7079243063926697,1.1087663173675537,0.0,0.9934747219085693,0.9964159727096558,31.611921310424805
13,1742,40000,121.56449890136719,0.001095297047868371,0.013017363846302032,121.55038452148438,0.35966286063194275,24.808908462524414,0.0,0.6250448822975159,0.6340157985687256,15.90453815460205,0.007986711338162422,49.19131851196289,0.0,0.2546541690826416,0.2707080841064453,0.01271489541977644,0.711338996887207,0.4264986515045166,0.0,0.9954355955123901,0.9973235130310059,31.796361923217773
14,1876,40000,122.21636962890625,0.0011004607658833265,0.01321272924542427,122.20205688476562,0.3632369935512543,24.77733039855957,0.0,0.5741629004478455,0.5366987586021423,15.90151309967041,0.017257094383239746,49.26087951660156,0.0,0.15366925299167633,0.07707500457763672,0.007756806444376707,0.7092168927192688,0.2937808036804199,0.0,0.994656503200531,0.996322512626648,31.795269012451172
15,2010,40000,121.07234191894531,0.001014110748656094,0.01580866612493992,121.0555191040039,0.357109010219574,24.81685447692871,0.0,0.5716036558151245,0.6142080426216125,15.907074928283691,0.003703827504068613,49.24772644042969,0.0,0.1479756087064743,0.23157989978790283,0.008694556541740894,0.7105141878128052,0.3859826624393463,0.0,0.9952316880226135,0.9968361854553223,31.805456161499023
16,2144,40000,126.73835754394531,0.0007811995455995202,0.016659781336784363,126.72091674804688,0.38777104020118713,24.58335304260254,0.0,0.7086767554283142,0.6555696725845337,16.029125213623047,0.06123383715748787,48.999671936035156,0.0,0.420043408870697,0.3132022023200989,0.026392018422484398,0.7143082618713379,0.16703441739082336,0.0,0.9973101019859314,0.9979372024536133,32.031856536865234
17,2278,40000,128.37722778320312,0.0007727325428277254,0.02187536656856537,128.35458374023438,0.39592811465263367,24.584474563598633,0.0,0.7128790616989136,0.6785531044006348,16.072397232055664,0.0775238424539566,48.981075286865234,0.0,0.42849835753440857,0.35909855365753174,0.027719873934984207,0.7143324017524719,0.18787454068660736,0.0,0.997259795665741,0.9980077147483826,32.11707305908203
18,2412,40000,123.49226379394531,0.0020332233980298042,0.020213346928358078,123.47001647949219,0.37079542875289917,24.65546226501465,0.0,0.6435865759849548,0.6952334046363831,15.960351943969727,0.050228528678417206,49.053504943847656,0.0,0.30241659283638,0.39934736490249634,0.02254778891801834,0.6913623213768005,0.2574203312397003,0.0,0.9847565293312073,0.9911194443702698,31.898155212402344
19,2546,40000,122.11612701416016,0.0008105617016553879,0.018343055620789528,122.09696960449219,0.3588610589504242,25.16238021850586,0.0,0.6364958882331848,0.5964711904525757,16.443069458007812,0.005904878955334425,49.070030212402344,0.0,0.276740700006485,0.19603204727172852,0.021367473527789116,0.7118172645568848,1.254729151725769,0.0,0.9962510466575623,0.9969103932380676,32.86477279663086
20,2680,40000,110.77251434326172,0.0008053218480199575,0.05420669540762901,110.71749877929688,0.30489426851272583,24.869321823120117,0.0,0.5343310832977295,0.5723705291748047,15.731934547424316,0.0037411453668028116,49.18978500366211,0.0,0.15120811760425568,0.16311508417129517,0.01282501220703125,0.6060473918914795,0.5488577485084534,0.0,0.9174540638923645,0.9816259145736694,31.4510440826416
21,2814,40000,118.65865325927734,0.0006915110861882567,0.014137702994048595,118.6438217163086,0.30010515451431274,29.3113956451416,0.0,0.555673360824585,0.6905781030654907,17.438854217529297,0.04144873842597008,49.05857849121094,0.0,0.24226832389831543,0.39915353059768677,0.022186171263456345,0.5587615966796875,9.56421184539795,0.0,0.8690783381462097,0.9820026159286499,34.85552215576172
22,2948,40000,102.39839172363281,0.0010289844358339906,0.022526809945702553,102.37483215332031,0.26310455799102783,24.8769588470459,0.0,0.5009979605674744,0.6123732924461365,16.146747589111328,0.0032224233727902174,49.142822265625,0.0,0.1675717979669571,0.2465922236442566,0.016173595562577248,0.5229867100715637,0.6110956072807312,0.0,0.8344240784645081,0.9781543612480164,32.277320861816406
23,3082,40000,165.8792266845703,0.0007046053069643676,0.02130807191133499,165.85720825195312,0.358169823884964,47.11162185668945,0.0,0.6410580277442932,0.6100711822509766,19.2852840423584,0.008240274153649807,48.95279312133789,0.0,0.2872849702835083,0.22493207454681396,0.02974104881286621,0.708099365234375,45.270450592041016,0.0,0.9948310852050781,0.9952102899551392,38.540828704833984
24,3216,40000,95.52439880371094,0.0010997825302183628,0.030607039108872414,95.49269104003906,0.2156873494386673,26.1776123046875,0.0,0.46115392446517944,0.5815442800521851,15.061412811279297,0.0008084910223260522,49.08919906616211,0.0,0.17266443371772766,0.20782673358917236,0.020000800490379333,0.4305662214756012,3.2660250663757324,0.0,0.7496433854103088,0.9552618265151978,30.102825164794922
25,3350,40000,96.23631286621094,0.0006769010215066373,0.036551885306835175,96.19908142089844,0.2008756399154663,28.01197624206543,0.0,0.4238671362400055,0.5739355087280273,14.659882545471191,0.0038909234572201967,49.105682373046875,0.0,0.13763849437236786,0.19859790802001953,0.018824419006705284,0.3978603482246399,6.918270111083984,0.0,0.7100957632064819,0.9492731690406799,29.300941467285156
26,3484,40000,105.12367248535156,0.0007755264523439109,0.04333142936229706,105.0795669555664,0.19659408926963806,32.880374908447266,0.0,0.4321209788322449,0.5706074833869934,13.904363632202148,0.0014587929472327232,49.03257369995117,0.0,0.16247440874576569,0.19288504123687744,0.024043072015047073,0.3917293846607208,16.728178024291992,0.0,0.7017675638198853,0.9483299255371094,27.784685134887695
27,3618,40000,103.43704986572266,0.00068565463880077,0.014745840802788734,103.42161560058594,0.2627044916152954,25.440357208251953,0.0,0.49247533082962036,0.5803598165512085,16.583393096923828,0.0025658784434199333,48.980926513671875,0.0,0.15315751731395721,0.18072152137756348,0.02773146890103817,0.5228431224822998,1.8997896909713745,0.0,0.8317931294441223,0.9799981117248535,33.13905334472656
28,3752,40000,106.2717056274414,0.0005478287348523736,0.0196323711425066,106.25152587890625,0.2677541673183441,26.3503475189209,0.0,0.5328577756881714,0.6201260089874268,16.938364028930664,0.004289865959435701,48.57796859741211,0.0,0.22285455465316772,0.26138025522232056,0.05658237636089325,0.5312184691429138,4.122725963592529,0.0,0.842860996723175,0.9788718223571777,33.82014465332031
29,3886,40000,109.67804718017578,0.0008702269406057894,0.031832724809646606,109.64534759521484,0.1960325986146927,35.21941375732422,0.0,0.45435547828674316,0.602016806602478,13.597830772399902,0.0032670055516064167,47.297672271728516,0.0,0.21120259165763855,0.25604915618896484,0.14906494319438934,0.38879817724227905,23.141155242919922,0.0,0.6975083351135254,0.947984516620636,27.04659652709961
30,4020,40000,106.8319091796875,0.0008833658648654819,0.01586519181728363,106.8151626586914,0.2074970006942749,32.65788269042969,0.0,0.5120071172714233,0.6684109568595886,14.865114212036133,0.08201651275157928,2.096666097640991,0.0,0.3998957574367523,0.40508097410202026,5.763839244842529,0.3329774737358093,63.21909713745117,0.0,0.624118447303772,0.931740939617157,23.966388702392578
31,4154,40000,53.484310150146484,0.0006487625068984926,0.07199368625879288,53.41166687011719,0.21746760606765747,4.959071636199951,0.0,0.48354607820510864,0.6085429787635803,17.930246353149414,0.0037831144873052835,1.019985556602478,0.0,0.23440887033939362,0.25098180770874023,6.9656243324279785,0.4311521053314209,8.898158073425293,0.0,0.7326833009719849,0.9661041498184204,28.894868850708008
32,4288,40000,50.33002471923828,0.000843089830596,0.01472876314073801,50.314453125,0.24326223134994507,0.8310034275054932,0.0,0.5036155581474304,0.5997285842895508,19.35001564025879,0.0008698580786585808,1.058827519416809,0.0,0.20769241452217102,0.2284725308418274,6.674229621887207,0.4856545925140381,0.6031793355941772,0.0,0.7995386719703674,0.9709846377372742,32.02580261230469
33,4422,40000,139.92868041992188,0.0007457963656634092,0.013020852580666542,139.9149169921875,0.35467976331710815,34.489479064941406,0.0,0.5979645252227783,0.6091561317443848,23.382522583007812,0.000510119425598532,0.8003779649734497,0.0,0.20100657641887665,0.22256338596343994,6.702127456665039,0.7088494300842285,68.17858123779297,0.0,0.9949224591255188,0.9957488775253296,40.06291580200195
34,4556,40000,93.38955688476562,0.0006420192075893283,0.011232879012823105,93.377685546875,0.35393938422203064,11.294902801513672,0.0,0.6025049090385437,0.6132922172546387,21.747318267822266,0.0011338194599375129,0.8229086399078369,0.0,0.21079739928245544,0.2318941354751587,7.027387619018555,0.7067449688911438,21.766897201538086,0.0,0.9942124485969543,0.9946903586387634,36.467247009277344
35,4690,40000,142.75955200195312,0.0007329964428208768,0.011308278888463974,142.7475128173828,0.35314175486564636,36.05958557128906,0.0,0.5963376760482788,0.6032448410987854,23.48920249938965,0.00015263614477589726,0.7997829914093018,0.0,0.19851388037204742,0.21226489543914795,6.725620746612549,0.706130862236023,71.31938934326172,0.0,0.9941614270210266,0.9942247867584229,40.252784729003906
