epoch,step,seen_frames,total_loss,rho_loss,potential_loss,pc_loss,alpha_loss_mean,phi_loss_mean,rank_loss_mean,correlation_mean,spearman_correlation_mean,slope_mean,PC2_alpha_loss,PC2_phi_loss,PC2_rank_loss,PC2_correlation,PC2_spearman_correlation,PC2_slope
1,134,40000,1008.244384765625,0.10253507643938065,0.2813601791858673,1007.8604736328125,0.615371584892273,946.3233032226562,0.0,0.9561804533004761,0.9532041549682617,1.0581843852996826,0.615371584892273,946.3233032226562,0.0,0.9561804533004761,0.9532041549682617,1.0581843852996826
2,268,40000,82.25837707519531,0.017671212553977966,0.24151208996772766,81.99919128417969,0.7050756216049194,11.491632461547852,0.0,0.9889916777610779,0.9984684586524963,31.053443908691406,0.7050756216049194,11.491632461547852,0.0,0.9889916777610779,0.9984684586524963,31.053443908691406
3,402,40000,71.77800750732422,0.00866975262761116,0.0858888179063797,71.6834487915039,0.7155063152313232,0.1328238993883133,0.0,0.9978151917457581,0.9984340667724609,31.895666122436523,0.7155063152313232,0.1328238993883133,0.0,0.9978151917457581,0.9984340667724609,31.895666122436523
4,536,40000,71.67552947998047,0.007205296773463488,0.08387377858161926,71.5844497680664,0.7139239311218262,0.1920577883720398,0.0,0.9966300129890442,0.9982947111129761,31.822580337524414,0.7139239311218262,0.1920577883720398,0.0,0.9966300129890442,0.9982947111129761,31.822580337524414
5,670,40000,71.6741714477539,0.004802583251148462,0.06429370492696762,71.60507202148438,0.7136990427970886,0.23516863584518433,0.0,0.9967156052589417,0.9980213642120361,31.83206558227539,0.7136990427970886,0.23516863584518433,0.0,0.9967156052589417,0.9980213642120361,31.83206558227539
6,804,40000,72.24791717529297,0.002927600173279643,0.4604140520095825,71.78457641601562,0.712443470954895,0.5402296781539917,0.0,0.9958360195159912,0.9978485703468323,31.757892608642578,0.712443470954895,0.5402296781539917,0.0,0.9958360195159912,0.9978485703468323,31.757892608642578
7,938,40000,71.6703109741211,0.0018774206982925534,0.0241414625197649,71.64429473876953,0.7137618064880371,0.26811036467552185,0.0,0.9966568946838379,0.9981324076652527,31.86907196044922,0.7137618064880371,0.26811036467552185,0.0,0.9966568946838379,0.9981324076652527,31.86907196044922
8,1072,40000,71.87290954589844,0.001339605893008411,0.029303837567567825,71.84226989746094,0.71230149269104,0.6121212244033813,0.0,0.9955718517303467,0.9979930520057678,31.76605796813965,0.71230149269104,0.6121212244033813,0.0,0.9955718517303467,0.9979930520057678,31.76605796813965
9,1206,40000,71.4866943359375,0.0011417715577408671,0.018218133598566055,71.46733093261719,0.7141631841659546,0.05100885406136513,0.0,0.9973699450492859,0.9977561831474304,31.940994262695312,0.7141631841659546,0.05100885406136513,0.0,0.9973699450492859,0.9977561831474304,31.940994262695312
10,1340,40000,71.62911224365234,0.002051906194537878,0.03603476658463478,71.59102630615234,0.7096689939498901,0.6241316199302673,0.0,0.9940853714942932,0.9972701072692871,31.674701690673828,0.7096689939498901,0.6241316199302673,0.0,0.9940853714942932,0.9972701072692871,31.674701690673828
