epoch,step,seen_frames,total_loss,rho_loss,potential_loss,pc_loss,alpha_loss_mean,phi_loss_mean,rank_loss_mean,correlation_mean,spearman_correlation_mean,slope_mean,PC1_alpha_loss,PC1_phi_loss,PC1_rank_loss,PC1_correlation,PC1_spearman_correlation,PC1_slope
1,134,40000,53.08782958984375,0.10253514349460602,0.2813611626625061,52.70393371582031,0.035943690687417984,49.10956573486328,0.0,0.3373417258262634,0.3306940793991089,0.0185459665954113,0.035943690687417984,49.10956573486328,0.0,0.3373417258262634,0.3306940793991089,0.0185459665954113
2,268,40000,55.142616271972656,0.017671914771199226,0.2415243685245514,54.883419036865234,0.056045468896627426,49.278873443603516,0.0,0.3782123327255249,0.3558391332626343,0.006475348956882954,0.056045468896627426,49.278873443603516,0.0,0.3782123327255249,0.3558391332626343,0.006475348956882954
3,402,40000,50.07387924194336,0.008669629693031311,0.08587775379419327,49.979331970214844,0.006784989032894373,49.30083465576172,0.0,0.26869863271713257,0.24544763565063477,0.004910848569124937,0.006784989032894373,49.30083465576172,0.0,0.26869863271713257,0.24544763565063477,0.004910848569124937
4,536,40000,63.47099685668945,0.007204611320048571,0.08380941301584244,63.379981994628906,0.1409948468208313,49.28049850463867,0.0,0.27772247791290283,0.5673609375953674,0.006359668914228678,0.1409948468208313,49.28049850463867,0.0,0.27772247791290283,0.5673609375953674,0.006359668914228678
5,670,40000,63.12691879272461,0.004800987429916859,0.06452691555023193,63.05759048461914,0.13722091913223267,49.33549880981445,0.0,0.11215463280677795,-0.1598668098449707,0.002443307777866721,0.13722091913223267,49.33549880981445,0.0,0.11215463280677795,-0.1598668098449707,0.002443307777866721
6,804,40000,53.331260681152344,0.002931012772023678,0.47452792525291443,52.85380172729492,0.035442084074020386,49.309593200683594,0.0,0.16719184815883636,0.3853799104690552,0.004287883639335632,0.035442084074020386,49.309593200683594,0.0,0.16719184815883636,0.3853799104690552,0.004287883639335632
7,938,40000,50.02995300292969,0.001876235124655068,0.0244793388992548,50.003597259521484,0.006839638110250235,49.31963348388672,0.0,0.1362043023109436,0.2526283860206604,0.0035728164948523045,0.006839638110250235,49.31963348388672,0.0,0.1362043023109436,0.2526283860206604,0.0035728164948523045
8,1072,40000,60.46141052246094,0.001342135015875101,0.029099449515342712,60.43096923828125,0.11118045449256897,49.312923431396484,0.0,0.12206719070672989,0.5242019891738892,0.0040504769422113895,0.11118045449256897,49.312923431396484,0.0,0.12206719070672989,0.5242019891738892,0.0040504769422113895
9,1206,40000,76.62622833251953,0.001138682710006833,0.01821073144674301,76.60688018798828,0.2749539315700531,49.11148452758789,0.0,0.5817695260047913,0.5594522953033447,0.018407808616757393,0.2749539315700531,49.11148452758789,0.0,0.5817695260047913,0.5594522953033447,0.018407808616757393
10,1340,40000,70.42827606201172,0.002050082664936781,0.03598024323582649,70.39024353027344,0.21152254939079285,49.23798751831055,0.0,0.2174091935157776,0.6595861911773682,0.009393762797117233,0.21152254939079285,49.23798751831055,0.0,0.2174091935157776,0.6595861911773682,0.009393762797117233
11,1474,40000,96.72764587402344,0.0020050706807523966,0.03601597622036934,96.68962860107422,0.47692036628723145,48.99759292602539,0.0,0.6974791288375854,0.6789935827255249,0.02653873898088932,0.47692036628723145,48.99759292602539,0.0,0.6974791288375854,0.6789935827255249,0.02653873898088932
12,1608,40000,94.05773162841797,0.0009548573289066553,0.02036035805940628,94.03641510009766,0.4494698941707611,49.08942413330078,0.0,0.3127292990684509,0.8608797192573547,0.019988857209682465,0.4494698941707611,49.08942413330078,0.0,0.3127292990684509,0.8608797192573547,0.019988857209682465
13,1742,40000,74.9682388305664,0.0010367686627432704,0.017653388902544975,74.94954681396484,0.2572031021118164,49.2292366027832,0.0,0.16790182888507843,0.7061351537704468,0.010018263943493366,0.2572031021118164,49.2292366027832,0.0,0.16790182888507843,0.7061351537704468,0.010018263943493366
14,1876,40000,49.62256622314453,0.0009143301867879927,0.027291862294077873,49.5943603515625,0.0034888775553554296,49.2454719543457,0.0,0.16521219909191132,0.15226441621780396,0.008865832351148129,0.0034888775553554296,49.2454719543457,0.0,0.16521219909191132,0.15226441621780396,0.008865832351148129
15,2010,40000,68.43553924560547,0.0012144648935645819,0.028547821566462517,68.40577697753906,0.19183136522769928,49.2226448059082,0.0,0.15071488916873932,0.6352037787437439,0.010491459630429745,0.19183136522769928,49.2226448059082,0.0,0.15071488916873932,0.6352037787437439,0.010491459630429745
